full_event_name,count
Microsoft-Windows-Host-Network-Service.HNSResourceDestroy,301
Microsoft-Windows-Host-Network-Service.LayeredResourceTimeCreate,8
Microsoft-Windows-Host-Network-Service.LayeredResourceTimeTearDown,4
Microsoft-Windows-Host-Network-Service.MirroredNetworkingRequested,4
Microsoft-Windows-Host-Network-Service.NetworkOperationTimeCreate,77
Microsoft-Windows-Host-Network-Service.NetworkOperationTimeTearDown,32
Microsoft-Windows-Host-Network-Service.NotifyAddressChange,1338
Microsoft-Windows-Host-Network-Service.ProcessDNSParamChanged,39
Microsoft-Windows-Host-Network-Service.ProcessNetworkRouteChanged,17
Microsoft-Windows-Host-Network-Service.RpcCall,826
Microsoft-Windows-Kernel-Mm.NonRetpolineSystemImageLoadedAggregate,27
Microsoft-Windows-Kernel-Mm.SystemImagePinAddressAggregate,7
Microsoft-Windows-Networking-BackgroundTransfer.TransferStarted,38
Microsoft-Windows-Networking-BackgroundTransfer.TransferSucceeded,2
Microsoft-Windows-Shell-CortanaProactive.ActivityError,79
Microsoft-Windows-Shell-CortanaProactive.CortanaStoreApp_CortanaAvailable,158
Microsoft-Windows-Shell-CortanaProactive.Cortana_AllowedOnSKU,64
Microsoft-Windows-Shell-CortanaProactive.Cortana_AppInstalled,79
Microsoft-Windows-Shell-CortanaProactive.Cortana_CortanaAvailable,79
Microsoft-Windows-Shell-CortanaProactive.Cortana_DeveloperOverride,79
Microsoft-Windows-Shell-CortanaProactive.Cortana_EnterprisePolicyEnabled,64
Microsoft-Windows-Shell-CortanaProactive.LaunchSearchHost,84
Microsoft-Windows-Shell-Launcher.ActivityIntermediateStop,121
Microsoft-Windows-Shell-Launcher.AllAppsSessionCompleted,120
Microsoft-Windows-Shell-Launcher.AppLaunch,64
Microsoft-Windows-Shell-Launcher.AppListItemInvoked,1
Microsoft-Windows-Shell-Launcher.AppListItemRemoved,13
Microsoft-Windows-Shell-Launcher.ContextMenuSessionCompleted,4
Microsoft-Windows-Shell-Launcher.ContextMenuSessionStarted,4
Microsoft-Windows-Shell-Launcher.ContextMenuShown,4
Microsoft-Windows-Shell-Launcher.CortanaLauncherInvokeActivity,80
Microsoft-Windows-Shell-Launcher.FolderLogged,2
Microsoft-Windows-Shell-Launcher.Frame_ReactToSizeChange,36
Microsoft-Windows-Shell-Launcher.Fullscreen,18
Microsoft-Windows-Shell-Launcher.GroupLogged,128
Microsoft-Windows-Shell-Launcher.LauncherClosed,120
Microsoft-Windows-Shell-Launcher.LauncherInvokeActivity,242
Microsoft-Windows-Shell-Launcher.LauncherOpened,121
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuDefaultConsole,13
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuExecuteCommand,4
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuExecuteShutdownCommand,26
Microsoft-Windows-Shell-Launcher.LogAllTilesActivity,46
Microsoft-Windows-Shell-Launcher.LogColumnMetrics,21
Microsoft-Windows-Shell-Launcher.LogTileScale,21
Microsoft-Windows-Shell-Launcher.SplitViewAllAppsViewSelected,18
Microsoft-Windows-Shell-Launcher.StartPropertiesOnOpened,121
Microsoft-Windows-Shell-Launcher.StartViewDestroyedWhileVisible,1
Microsoft-Windows-Shell-Launcher.SystemListItemEnumeration,14
Microsoft-Windows-Shell-Launcher.TileAdded,7
Microsoft-Windows-Shell-Launcher.TileGridProgrammaticRearrange,14
Microsoft-Windows-Shell-Launcher.TileGridTileRearrange,12
