Win11 full_event_name,count
Microsoft.Windows.AppModel.Tiles.PrimaryTileUserUpdated,11
Microsoft.Windows.AppXDeploymentServer.DeploymentRequestRunningStart,29
Microsoft.Windows.AppXDeploymentServer.InPlaceUpdate,23
Microsoft.Windows.AppXDeploymentServer.MSIXInBundle,2
Microsoft.Windows.AppXDeploymentServer.PackageManagerError,1
Microsoft.Windows.AppXDeploymentServer.PackageManagerMainPackageSuccess,13
Microsoft.Windows.AppXDeploymentServer.PackageManagerPerfSummary,22
Microsoft.Windows.AppXDeploymentServer.PackageManagerStartDeployment,34
Microsoft.Windows.AppXDeploymentServer.PackageManagerSuccess,28
Microsoft.Windows.AppXDeploymentServer.PackageManagerSummaryError,1
Microsoft.Windows.AppXDeploymentServer.PackageManagerUninstall,6
Microsoft.Windows.AppXDeploymentServer.ProcessDeferredRequestStatesEnd,28
Microsoft.Windows.Application.Service.ActivityError,3
Microsoft.Windows.Application.Service.ActivityIntermediateStop,351
Microsoft.Windows.Application.Service.AppServiceBackgroundTask,698
Microsoft.Windows.Application.Service.AppServiceConnectionActivity,702
Microsoft.Windows.Application.Service.BackgroundTaskActivated,350
Microsoft.Windows.Application.Service.BackgroundTaskCompleted,325
Microsoft.Windows.Application.Service.BackgroundTaskRequested,351
Microsoft.Windows.Application.Service.ConnectionStatus,351
Microsoft.Windows.Application.Service.MessageSizeStats,672
Microsoft.Windows.Application.Service.MessageTimeStats,335
Microsoft.Windows.Application.Service.StartBackgroundTask,351
Microsoft.Windows.ApplicationModel.DataTransfer.CloudClipboard.CloudClipboardSettings,10
Microsoft.Windows.ApplicationModel.DataTransfer.CloudClipboard.LocalContentsChanged,1
Microsoft.Windows.ApplicationModel.DataTransfer.CloudClipboard.ProcessClipboardActivities,2
Microsoft.Windows.ApplicationModel.DataTransfer.CloudClipboard.PushContentsToCloud,2
Microsoft.Windows.ApplicationModel.DataTransfer.CloudClipboard.RemoteContentsChanged,424
